"filename", "language", "JSON", "XML", "Markdown", "Properties", "Batch", "Ignore", "YAML", "HTML", "Java", "Shell Script", "comment", "blank", "total"
"d:\BOA\Dev\cmsBoaWeb\.jhipster\CodeVisuel.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"d:\BOA\Dev\cmsBoaWeb\.jhipster\Institution.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\BOA\Dev\cmsBoaWeb\.jhipster\ParamFiliale.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"d:\BOA\Dev\cmsBoaWeb\.jhipster\ParamGeneral.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"d:\BOA\Dev\cmsBoaWeb\.jhipster\ParamIdentifier.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\BOA\Dev\cmsBoaWeb\.jhipster\Tracking.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\BOA\Dev\cmsBoaWeb\.jhipster\TypeIdentif.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\BOA\Dev\cmsBoaWeb\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 31, 11, 118
"d:\BOA\Dev\cmsBoaWeb\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\BOA\Dev\cmsBoaWeb\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\BOA\Dev\cmsBoaWeb\.prettierrc", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\BOA\Dev\cmsBoaWeb\.yo-rc.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\BOA\Dev\cmsBoaWeb\README.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 44, 102
