id;code;sous_bin;taille;range_low;range_high
1;utilize Bedfordshire;Plastic;43362;58;91627
2;reboot;Maryland deposit;51265;23432;49521
3;transitional;driver Fantastic Frozen Hat;83192;60528;90494
4;Jewelery Cross-group;e-commerce composite 6th generation;16648;21108;90284
5;Executive Tunisian Dinar Rustic Plastic Gloves;system Chicken;69425;45653;64015
6;Strategist Rustic;Buckinghamshire;18334;15017;54161
7;Fantastic Frozen Shoes redundant;6th generation Nevada real-time;31751;61346;66550
8;action-items Ergonomic Dynamic;Right-sized eyeballs Assurance;75601;3695;61772
9;ROI Plastic Unbranded;Rubber;34216;84833;12947
10;Incredible Soft Towels Trail;Illinois Intelligent Paradigm;86175;78505;86172
