id;code_filiale;designation_pays;end_point;status;date_cre;end_point_compte
1;mobile Fish;Home Loan Account Table Computer;Trace;false;2020-01-15T17:36:29;alarm
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;false;2020-01-15T21:40:06;intangible
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;false;2020-01-16T06:55:12;Credit Card Account Table Small Frozen Sausages
4;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;true;2020-01-16T07:12:34;Regional
5;Tuna;hardware Costa Rica Mayotte;Industrial;true;2020-01-15T13:25:54;Markets Chief
6;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;true;2020-01-15T23:28:22;mission-critical Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;true;2020-01-16T06:15:28;world-class Frozen IB
8;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;false;2020-01-16T05:09:52;bus synthesize Idaho
9;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;true;2020-01-15T10:15:12;Phased
10;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;false;2020-01-15T12:44:49;maroon
