id;code;pays;var_string_1;var_string_2;var_string_3;var_integer_1;var_integer_2;var_integer_3;var_double_1;var_double_2;var_double_3;var_instant;var_date;var_boolean
1;portals;Steel Crescent;payment Pound;Planner Serbian;Florida Republic;38782;88762;11448;42121;49702;90368;2020-10-09T09:04:31;2020-10-08;true
2;transmitter parse backing;Alabama Reunion Intelligent;service-desk e-markets strategic;logistical;killer Savings synthesize;99862;46504;23355;4750;51155;48999;2020-10-08T20:10:50;2020-10-08;true
3;Borders Officer;compress attitude-oriented architect;Jersey microchip;Gardens hack;Kansas;11993;90471;25070;40031;53242;4765;2020-10-08T16:00:39;2020-10-08;false
4;Soap Shoal;metrics alarm;benchmark;scalable complexity International;dedicated;79307;78124;32989;30956;98176;2554;2020-10-08T20:51:47;2020-10-08;true
5;Awesome;Engineer deposit;Estates matrix Computer;invoice Money;Cotton Sports;31969;30541;28854;95011;29321;56572;2020-10-09T00:32:24;2020-10-08;true
6;Belize cross-platform HDD;redefine interface Sleek;Vermont Granite;Borders neural;Architect Steel Trace;48719;1442;35568;67257;60842;65974;2020-10-09T03:03:00;2020-10-09;true
7;Liechtenstein;Chips;world-class Computers;Tasty Shirt TCP;Factors Rubber;47243;72815;81618;10421;60930;97901;2020-10-08T17:12:31;2020-10-09;false
8;Beauty;plum front-end bus;composite Coordinator neural;Chair drive;Incredible Agent Tuna;45171;82873;90350;20873;50601;54124;2020-10-09T03:19:17;2020-10-09;true
9;Associate online bleeding-edge;Guinea-Bissau;Games;Soft generate;Berkshire action-items;55624;58896;3182;37804;44975;65234;2020-10-08T15:42:52;2020-10-09;true
10;Berkshire Buckinghamshire pink;Grocery portals;Extension;exploit Islands Agent;Concrete;12653;92228;65672;80614;5796;38321;2020-10-08T13:38:11;2020-10-09;true
