id;identifier;default_identifier
1;Keyboard;Automated
2;Chair Handmade Frozen Shirt override;auxiliary
3;Savings Account communities;Borders North Carolina Solomon Islands
4;Plaza feed;Bedfordshire Decentralized withdrawal
5;Practical Concrete Chicken Assistant;attitude-oriented ROI
6;Up-sized Marketing;reboot programming orchestrate
7;gold blue web-enabled;Bedfordshire Generic Cotton Salad Intelligent Metal Keyboard
8;Delaware Monitored;Licensed
9;East Caribbean Dollar portal empower;Cambridgeshire
10;Chicken Avon;Row Developer open system
